Name,Popularity
꼬모카,0.064291
백솜모카,0.024105
우르,0.317918
배우르,0.048399
깨물부기,0.026144
갈가부기,0.121311
멍파치,0.177122
펄스멍,0.044317
탄동,0.156467
탄차곤,0.02907
석탄산,0.079201
과사삭벌레,0.285256
애프룡,0.036664
단지래플,0.010324
모래뱀,0.086007
사다이사,0.041087
윽우지,0.173053
찌로꼬치,0.021882
꼬치조,0.004444
일레즌,0.485021
스트린더,0.371102
태우지네,0.131974
다태우지네,0.036618
때때무노,0.049673
케오퍼스,0.005498
데인차,0.191168
포트데스,0.16455
몸지브림,0.198898
손지브림,0.046557
브리무음,0.322566
메롱꿍,0.008174
쏘겨모,0.02607
오롱털,0.476824
가로막구리,0.258365
나이킹,0.145642
산호르곤,0.028207
창파나이트,0.206307
마임꽁꽁,0.011908
데스판,0.148253
마빌크,0.008225
마휘핑,0.418492
대여르,0.408977
찌르성게,0.056026
누니머기,0.079416
모스노우,0.072343
돌헨진,0.024949
빙큐보,0.041114
에써르,0.19308
모르페코,0.28176
끼리동,0.121403
대왕끼리동,0.011588
파치래곤,0.031936
파치르돈,0.065259
어래곤,0.273624
어치르돈,0.046022
두랄루돈,0.412388
드라꼰,0.33657
드래런치,0.003434
드래펄트,0.625099
자시안,0.74158
자마젠타,0.538225
무한다이노,0.651551
치고마,0.433127
우라오스,0.51085
자루도,0.193584
레지에레키,0.150844
레지드래고,0.139383
블리자포스,0.016194
레이스포스,0.092893
버드렉스,0.472654
신비록,0.106527
사마자르,0.380102
다투곰,0.545985
대쓰여너,0.285096
포푸니크,0.336123
장침바루,0.122275
러브로스,0.18253
나오하,0.549809
나로테,0.079924
마스카나,0.578388
뜨아거,0.498454
악뜨거,0.004818
라우드본,0.392407
꾸왁스,0.218299
아꾸왁,0.004118
웨이니발,0.132696
맛보돈,0.162937
퍼퓨돈,0.004118
타랜툴라,0.026828
트래피더,0.007463
콩알뚜기,0.044137
엑스레그,0.091589
빠모,0.387618
빠모트,0.092848
빠르모트,0.291901
두리쥐,0.163689
파밀리쥐,0.20011
쫀도기,0.065679
바우첼,0.052872
미니브,0.231042
올리뇨,0.002053
올리르바,0.014865
시비꼬,0.049148
베베솔트,0.21664
스태솔트,0.03716
콜로솔트,0.253631
카르본,0.621266
카디나르마,0.411898
파라블레이즈,0.629765
빈나두,0.028782
찌리배리,0.059663
찌리비,0.198646
찌리비크,0.028131
오라티프,0.111248
마피티프,0.047306
땃쭈르,0.005483
태깅구르,0.033955
그푸리,0.024064
공푸리,0.022957
들눈해,0.09375
육파리,0.113692
절벼게,0.004804
캡싸이,0.054475
스코빌런,0.279627
구르데,0.006127
베라카스,0.04709
하느라기,0.043564
클레스퍼트라,0.156486
어리짱,0.215047
벼리짱,0.026192
두드리짱,0.541577
바다그다,0.090339
바닥트리오,0.026052
떨구새,0.030749
맨돌핀,0.220515
돌핀맨,0.418396
부르롱,0.026846
부르르룸,0.036964
모토마,0.279786
꿈트렁,0.192514
초롱순,0.065983
킬라플로르,0.326741
망망이,0.058442
묘두기,0.08652
꼬이밍고,0.080533
터벅고래,0.063543
우락고래,0.053791
가비루사,0.186555
